"pub47"|"make"|"model"|"type"|"serial_number"|"parameter"|"reference"
"SATO/37973"|"SATO KEIRYOKI"|"UNKNOWN"|"UNKNOWN"|"37973"|"SLP"|"NA"
"SATO/565042"|"SATO KEIRYOKI"|"UNKNOWN"|"UNKNOWN"|"565042"|"SLP"|"NA"
"SATO/566250"|"SATO KEIRYOKI"|"UNKNOWN"|"UNKNOWN"|"566250"|"SLP"|"NA"
"SATO/87340"|"SATO KEIRYOKI"|"UNKNOWN"|"UNKNOWN"|"87340"|"SLP"|"NA"
"SATO/UNKNOWN"|"SATO KEIRYOKI"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"SATOKEIRYOKI"|"SATO KEIRYOKI"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"SEISAKUSHO"|"SEISAKUSHO"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"SESTREL 4908"|"SESTREL"|"4908"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"SESTREL"|"SESTREL"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"SESTREL/4908"|"SESTREL"|"4908"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"SESTREL/ENGLAND"|"SESTREL"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"SETRA / 470"|"SETRA"|"470"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"SETRA 470"|"SETRA"|"470"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"SETRA MODEL370"|"SETRA"|"370"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"SETRA"|"SETRA"|"UNKNOWN"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"SEVIES S/N31549"|"SEVIES"|"UNKNOWN"|"UNKNOWN"|"31549"|"SLP"|"NA"
"SHANGHAI / DYM3"|"CHANGCHUN"|"DYM3"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SHANGHAI MENGDE  / YM3"|"CHANGCHUN"|"DYM3"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SHANGHAI MENGDE YM3"|"CHANGCHUN"|"DYM3"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SHATZ"|"SHATZ"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SHIP OWNED"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"SHIPS BAROMETER"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"SIGMA II MODEL NS II BQ JAPAN"|"SATO KEIRYOKI"|"SIGMA II"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
